task1,task2,T0,T2,T1,lagT0,lagT1,lagT2,responseT1,responseT2,related,dist,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trials_T0_context.thisRepN,trials_T0_context.thisTrialN,trials_T0_context.thisN,trials_T0_context.thisIndex,trials_T1.thisRepN,trials_T1.thisTrialN,trials_T1.thisN,trials_T1.thisIndex,trials_T2.thisRepN,trials_T2.thisTrialN,trials_T2.thisN,trials_T2.thisIndex,thisRow.t,notes,instructions.started,text_instructions.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,settings.started,settings.stopped,T0_context.started,context_word.started,blankContext.started,context_word.stopped,blankContext.stopped,T0_context.stopped,distractors_T0_T2.started,text_distractors_2.started,distractors_T0_T2.stopped,T1_number.started,text_T1.started,T1_number.stopped,distractors_T1.started,text_distractors.started,distractors_T1.stopped,T2_probe.started,text_T2.started,T2_probe.stopped,Ask_T1.started,Ask_T1.stopped,key_resp_T1.keys,key_resp_T1.corr,Ask_T2.started,blankT2_1.started,text_T2ask.started,key_resp_T2.started,blankT2_1.stopped,text_T2ask.stopped,blankT2_2.started,key_resp_T2.stopped,blankT2_2.stopped,Ask_T2.stopped,key_resp_T2.keys,key_resp_T2.corr,participant,order [1: single-dual or 2: dual-single],date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004625799949280918,0.01726959994994104,0.01726959994994104,67.37086279992945,space,67.3006016999716,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,ANGRY,XXYELLX,1111111.0,7.0,7.0,6.0,j,j,0.0,ZJTSHFP,0,0,0,0,0,0,0,0,,,,,0,0,0,3,,,,,70.01594379998278,,,,,,,,,67.37666029995307,67.37699879996944,67.5146244999487,67.5274903998943,68.37730989989359,68.52747879992239,69.4212907999754,69.36164689995348,69.7943911999464,69.81073429994285,69.87747189996298,69.87752579990774,69.89415469998494,69.96151399996597,70.00727219996043,70.01594379998278,70.04407649999484,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,ANGRY,XXYELLX,1111111.0,7.0,7.0,6.0,j,j,0.0,ZTFYDXH,0,0,0,0,0,0,0,0,,,,,0,1,1,0,,,,,70.06067189993337,,,,,,,,,,,,,,,,,,,,,,,70.0443034999771,70.06067189993337,70.12777509994339,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,ANGRY,XXYELLX,1111111.0,7.0,7.0,6.0,j,j,0.0,HLFPYXK,0,0,0,0,0,0,0,0,,,,,0,2,2,4,,,,,70.14412909990642,,,,,,,,,,,,,,,,,,,,,,,70.12806229991838,70.14412909990642,70.2111146999523,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,ANGRY,XXYELLX,1111111.0,7.0,7.0,6.0,j,j,0.0,YGLMSFQ,0,0,0,0,0,0,0,0,,,,,0,3,3,1,,,,,70.22765359992627,,,,,,,,,,,,,,,,,,,,,,,70.21137639996596,70.22765359992627,70.29421490000095,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,ANGRY,XXYELLX,1111111.0,7.0,7.0,6.0,j,j,0.0,VYKXSPC,0,0,0,0,0,0,0,0,,,,,0,4,4,2,,,,,70.31084449996706,,,,,,,,,,,,,,,,,,,,,,,70.29446019988973,70.31084449996706,70.37829289992806,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,ANGRY,XXYELLX,1111111.0,7.0,7.0,6.0,j,j,0.0,GQKRPDL,0,0,0,0,0,0,0,0,,,,,0,5,5,5,,,,,70.39411009999458,,,,,,,,,,,,,,,,,,,,,,,70.37852169992402,70.39411009999458,70.46162029996049,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,ANGRY,XXYELLX,1111111.0,7.0,7.0,6.0,j,j,0.0,ZJTSHFP,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,3,70.60028469993267,,,,,,,,,,,,,,,,,70.59115449991077,70.60028469993267,70.62748729996383,,,,,,,70.46170929993968,70.47745009989012,70.54489579994697,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,ANGRY,XXYELLX,1111111.0,7.0,7.0,6.0,j,j,0.0,HLFPYXK,0,0,0,0,0,0,0,0,,,,,,,,,0,1,1,4,70.64413449994754,,,,,,,,,,,,,,,,,70.62771409994457,70.64413449994754,70.71082669997122,,,,,,,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,ANGRY,XXYELLX,1111111.0,7.0,7.0,6.0,j,j,0.0,ZTFYDXH,0,0,0,0,0,0,0,0,,,,,,,,,0,2,2,0,70.72740329999942,,,,,,,,,,,,,,,,,70.71106339991093,70.72740329999942,70.79426090000197,,,,,,,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
