task1,task2,T0,T2,T1,lagT0,lagT1,lagT2,responseT1,responseT2,related,dist,taskType_loop.thisRepN,taskType_loop.thisTrialN,taskType_loop.thisN,taskType_loop.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_T0_context.thisRepN,trials_T0_context.thisTrialN,trials_T0_context.thisN,trials_T0_context.thisIndex,trials_T1.thisRepN,trials_T1.thisTrialN,trials_T1.thisN,trials_T1.thisIndex,trials_T2.thisRepN,trials_T2.thisTrialN,trials_T2.thisN,trials_T2.thisIndex,thisRow.t,notes,instructions.started,text_instructions.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,settings.started,settings.stopped,T0_context.started,context_word.started,blankContext.started,context_word.stopped,blankContext.stopped,T0_context.stopped,distractors_T0_T2.started,text_distractors_2.started,distractors_T0_T2.stopped,T1_number.started,text_T1.started,T1_number.stopped,distractors_T1.started,text_distractors.started,distractors_T1.stopped,T2_probe.started,text_T2.started,T2_probe.stopped,Ask_T1.started,Ask_T1.stopped,key_resp_T1.keys,key_resp_T1.corr,Ask_T2.started,blankT2_1.started,text_T2ask.started,key_resp_T2.started,blankT2_1.stopped,Ask_T2.stopped,key_resp_T2.keys,key_resp_T2.corr,key_resp_T2.rt,key_resp_T2.duration,text_distractors_2.stopped,participant,order [1: single-dual or 2: dual-single],date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006146600004285574,0.020140700042247772,0.020140700042247772,0.9259788002818823,space,0.9189449003897607,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,HER,XXHIMXX,3333333,7,7,6,j,f,1,YGLMSFQ,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,,,,3.5775179001502693,,,,,,,,,0.9311807001940906,0.9314330001361668,1.0609465003944933,1.068355600349605,1.940075000282377,2.073496100027114,2.986288800369948,2.9242151002399623,3.3572452003136277,3.3736334000714123,3.4406602000817657,3.440714900381863,3.456960500217974,3.5236963001079857,3.5702533000148833,3.5775179001502693,3.607070400379598,,,,,,,,,,,,,,,,,,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,HER,XXHIMXX,3333333,7,7,6,j,f,1,HLFPYXK,0,0,0,0,0,0,0,0,,,,,0,1,1,4,,,,,3.623535300139338,,,,,,,,,,,,,,,,,,,,,,,3.607329100370407,3.623535300139338,3.690271000377834,,,,,,,,,,,,,,,,,,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,HER,XXHIMXX,3333333,7,7,6,j,f,1,ZTFYDXH,0,0,0,0,0,0,0,0,,,,,0,2,2,0,,,,,3.707131300121546,,,,,,,,,,,,,,,,,,,,,,,3.69051400013268,3.707131300121546,3.773648800328374,,,,,,,,,,,,,,,,,,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,HER,XXHIMXX,3333333,7,7,6,j,f,1,GQKRPDL,0,0,0,0,0,0,0,0,,,,,0,3,3,5,,,,,3.7902345000766218,,,,,,,,,,,,,,,,,,,,,,,3.7739113001152873,3.7902345000766218,3.857081100344658,,,,,,,,,,,,,,,,,,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,HER,XXHIMXX,3333333,7,7,6,j,f,1,VYKXSPC,0,0,0,0,0,0,0,0,,,,,0,4,4,2,,,,,3.873773700091988,,,,,,,,,,,,,,,,,,,,,,,3.857325500342995,3.873773700091988,3.9403512002900243,,,,,,,,,,,,,,,,,,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,HER,XXHIMXX,3333333,7,7,6,j,f,1,ZJTSHFP,0,0,0,0,0,0,0,0,,,,,0,5,5,3,,,,,3.957246500067413,,,,,,,,,,,,,,,,,,,,,,,3.9405974000692368,3.957246500067413,4.024173400364816,,,,,,,,,,,,,,,,,,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,HER,XXHIMXX,3333333,7,7,6,j,f,1,YGLMSFQ,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,1,4.161911000031978,,,,,,,,,,,,,,,,,4.1543776001781225,4.161911000031978,4.190333800390363,,,,,,,4.024266100022942,4.0404123002663255,4.107288000173867,,,,,,,,,,,,,,,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,HER,XXHIMXX,3333333,7,7,6,j,f,1,ZJTSHFP,0,0,0,0,0,0,0,0,,,,,,,,,0,1,1,3,4.207197100389749,,,,,,,,,,,,,,,,,4.190585900098085,4.207197100389749,4.27402440039441,,,,,,,,,,,,,,,,,,,,,,,,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,HER,XXHIMXX,3333333,7,7,6,j,f,1,GQKRPDL,0,0,0,0,0,0,0,0,,,,,,,,,0,2,2,5,4.290343200322241,,,,,,,,,,,,,,,,,4.274276600219309,4.290343200322241,4.3573386003263295,,,,,,,,,,,,,,,,,,,,,,,,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,HER,XXHIMXX,3333333,7,7,6,j,f,1,VYKXSPC,0,0,0,0,0,0,0,0,,,,,,,,,0,3,3,2,4.373726100195199,,,,,,,,,,,,,,,,,4.3575879000127316,4.373726100195199,4.440326000098139,,,,,,,,,,,,,,,,,,,,,,,,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,HER,XXHIMXX,3333333,7,7,6,j,f,1,ZTFYDXH,0,0,0,0,0,0,0,0,,,,,,,,,0,4,4,0,4.457263099960983,,,,,,,,,,,,,,,,,4.440562900155783,4.457263099960983,4.523986299987882,,,,,,,,,,,,,,,,,,,,,,,,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,HER,XXHIMXX,3333333,7,7,6,j,f,1,HLFPYXK,0,0,0,0,0,0,0,0,,,,,,,,,0,5,5,4,4.540359000209719,,,,,,,,,,,,,,,,,4.52426590025425,4.540359000209719,4.60735320020467,,,,,,,,,,,,,,,,,,,,,,,,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,HER,XXHIMXX,3333333,7,7,6,j,f,1,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.607449300121516,4.607493500225246,None,0,4.6077952003106475,4.623744599986821,5.607392400037497,5.607392400037497,5.6240953002125025,6.591179500333965,f,1,6.583027500193566,None,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,WOMAN,XXMANXX,0,7,3,10,f,f,1,YGLMSFQ,0,0,0,0,0,1,1,1,,,,,0,0,0,1,,,,,9.228221700061113,,,,,,,,,,,6.591785100288689,6.607320500072092,7.60713310027495,7.60713310027495,8.643100900109857,8.590970600023866,9.00783530017361,9.023968200199306,9.090686600189656,9.090738900005817,9.107367699965835,9.174355100374669,9.219444199930876,9.228221700061113,9.257761900313199,,,,,,,,,,,,,,,,,,8.857766200322658,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,WOMAN,XXMANXX,0,7,3,10,f,f,1,ZTFYDXH,0,0,0,0,0,1,1,1,,,,,0,1,1,0,,,,,9.273997200187296,,,,,,,,,,,,,,,,,,,,,,,9.258026299998164,9.273997200187296,9.340782100334764,,,,,,,,,,,,,,,,,,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,WOMAN,XXMANXX,0,7,3,10,f,f,1,YGLMSFQ,0,0,0,0,0,1,1,1,,,,,,,,,0,0,0,1,9.48685590038076,,,,,,,,,,,,,,,,,9.477394599933177,9.48685590038076,9.507535099983215,,,,,,,9.340870100073516,9.357319599948823,9.424051800277084,,,,,,,,,,,,,,,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,WOMAN,XXMANXX,0,7,3,10,f,f,1,VYKXSPC,0,0,0,0,0,1,1,1,,,,,,,,,0,1,1,2,9.524342500139028,,,,,,,,,,,,,,,,,9.507791600190103,9.524342500139028,9.590704200323671,,,,,,,,,,,,,,,,,,,,,,,,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,WOMAN,XXMANXX,0,7,3,10,f,f,1,HQTYPJM,0,0,0,0,0,1,1,1,,,,,,,,,0,2,2,9,9.607262200210243,,,,,,,,,,,,,,,,,9.590958300046623,9.607262200210243,9.673999200109392,,,,,,,,,,,,,,,,,,,,,,,,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,WOMAN,XXMANXX,0,7,3,10,f,f,1,ZJTSHFP,0,0,0,0,0,1,1,1,,,,,,,,,0,3,3,3,9.690949900075793,,,,,,,,,,,,,,,,,9.674256999976933,9.690949900075793,9.75731120025739,,,,,,,,,,,,,,,,,,,,,,,,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,WOMAN,XXMANXX,0,7,3,10,f,f,1,YNPLRQW,0,0,0,0,0,1,1,1,,,,,,,,,0,4,4,7,9.820274299941957,,,,,,,,,,,,,,,,,9.757603000383824,9.820274299941957,9.84068310027942,,,,,,,,,,,,,,,,,,,,,,,,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,WOMAN,XXMANXX,0,7,3,10,f,f,1,VFDMHQS,0,0,0,0,0,1,1,1,,,,,,,,,0,5,5,8,9.857413900084794,,,,,,,,,,,,,,,,,9.8409235002473,9.857413900084794,9.924382199998945,,,,,,,,,,,,,,,,,,,,,,,,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,WOMAN,XXMANXX,0,7,3,10,f,f,1,WMYFTGJ,0,0,0,0,0,1,1,1,,,,,,,,,0,6,6,6,9.940661100205034,,,,,,,,,,,,,,,,,9.924662000034004,9.940661100205034,10.007348500192165,,,,,,,,,,,,,,,,,,,,,,,,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,WOMAN,XXMANXX,0,7,3,10,f,f,1,HLFPYXK,0,0,0,0,0,1,1,1,,,,,,,,,0,7,7,4,10.024310800246894,,,,,,,,,,,,,,,,,10.007606000173837,10.024310800246894,10.090686700306833,,,,,,,,,,,,,,,,,,,,,,,,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,WOMAN,XXMANXX,0,7,3,10,f,f,1,GQKRPDL,0,0,0,0,0,1,1,1,,,,,,,,,0,8,8,5,10.107319900300354,,,,,,,,,,,,,,,,,10.090951499994844,10.107319900300354,10.174409300088882,,,,,,,,,,,,,,,,,,,,,,,,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,WOMAN,XXMANXX,0,7,3,10,f,f,1,ZTFYDXH,0,0,0,0,0,1,1,1,,,,,,,,,0,9,9,0,10.190652700141072,,,,,,,,,,,,,,,,,10.17471140017733,10.190652700141072,10.257339400239289,,,,,,,,,,,,,,,,,,,,,,,,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,WOMAN,XXMANXX,0,7,3,10,f,f,1,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.257425600197166,10.257464400026947,None,0,10.25765320006758,10.275080400053412,11.257612300105393,11.257612300105393,11.27438860014081,12.058053000364453,f,1,12.054913999978453,None,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,PEOPLE,SQUEEZE,2222222,7,3,10,f,j,0,YGLMSFQ,0,0,0,0,0,2,2,2,,,,,0,0,0,1,,,,,14.694735600147396,,,,,,,,,,,12.058463199995458,12.074376500211656,13.05744060035795,13.07419029995799,14.09375789994374,14.041629400104284,14.474724099971354,14.491301600355655,14.55766690010205,14.557720000389963,14.574278100393713,14.64128450024873,14.685695399995893,14.694735600147396,14.724395100027323,,,,,,,,,,,,,,,,,,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,PEOPLE,SQUEEZE,2222222,7,3,10,f,j,0,ZTFYDXH,0,0,0,0,0,2,2,2,,,,,0,1,1,0,,,,,14.741237800102681,,,,,,,,,,,,,,,,,,,,,,,14.724646599963307,14.741237800102681,14.807637500111014,,,,,,,,,,,,,,,,,,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,PEOPLE,SQUEEZE,2222222,7,3,10,f,j,0,VYKXSPC,0,0,0,0,0,2,2,2,,,,,,,,,0,0,0,2,14.944254700094461,,,,,,,,,,,,,,,,,14.935689100064337,14.944254700094461,14.974376400001347,,,,,,,14.807721599936485,14.824407299980521,14.891335300169885,,,,,,,,,,,,,,,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,PEOPLE,SQUEEZE,2222222,7,3,10,f,j,0,HLFPYXK,0,0,0,0,0,2,2,2,,,,,,,,,0,1,1,4,14.991242100019008,,,,,,,,,,,,,,,,,14.974617700092494,14.991242100019008,15.05758640030399,,,,,,,,,,,,,,,,,,,,,,,,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,PEOPLE,SQUEEZE,2222222,7,3,10,f,j,0,YGLMSFQ,0,0,0,0,0,2,2,2,,,,,,,,,0,2,2,1,15.074371099937707,,,,,,,,,,,,,,,,,15.057826700154692,15.074371099937707,15.14132359996438,,,,,,,,,,,,,,,,,,,,,,,,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,PEOPLE,SQUEEZE,2222222,7,3,10,f,j,0,YNPLRQW,0,0,0,0,0,2,2,2,,,,,,,,,0,3,3,7,15.15753860026598,,,,,,,,,,,,,,,,,15.141593900043517,15.15753860026598,15.224968600086868,,,,,,,,,,,,,,,,,,,,,,,,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,PEOPLE,SQUEEZE,2222222,7,3,10,f,j,0,GQKRPDL,0,0,0,0,0,2,2,2,,,,,,,,,0,4,4,5,15.240936000365764,,,,,,,,,,,,,,,,,15.225233300123364,15.240936000365764,15.307593100238591,,,,,,,,,,,,,,,,,,,,,,,,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,PEOPLE,SQUEEZE,2222222,7,3,10,f,j,0,WMYFTGJ,0,0,0,0,0,2,2,2,,,,,,,,,0,5,5,6,15.324218499939889,,,,,,,,,,,,,,,,,15.307833900209516,15.324218499939889,15.391362100373954,,,,,,,,,,,,,,,,,,,,,,,,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,PEOPLE,SQUEEZE,2222222,7,3,10,f,j,0,ZTFYDXH,0,0,0,0,0,2,2,2,,,,,,,,,0,6,6,0,15.40762250032276,,,,,,,,,,,,,,,,,15.391629400197417,15.40762250032276,15.474708000198007,,,,,,,,,,,,,,,,,,,,,,,,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,PEOPLE,SQUEEZE,2222222,7,3,10,f,j,0,HQTYPJM,0,0,0,0,0,2,2,2,,,,,,,,,0,7,7,9,15.490889900363982,,,,,,,,,,,,,,,,,15.474967500194907,15.490889900363982,15.557633399963379,,,,,,,,,,,,,,,,,,,,,,,,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,PEOPLE,SQUEEZE,2222222,7,3,10,f,j,0,ZJTSHFP,0,0,0,0,0,2,2,2,,,,,,,,,0,8,8,3,15.574337000027299,,,,,,,,,,,,,,,,,15.557883100118488,15.574337000027299,15.640947200357914,,,,,,,,,,,,,,,,,,,,,,,,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,PEOPLE,SQUEEZE,2222222,7,3,10,f,j,0,VFDMHQS,0,0,0,0,0,2,2,2,,,,,,,,,0,9,9,8,15.657858200371265,,,,,,,,,,,,,,,,,15.641190600115806,15.657858200371265,15.72441740008071,,,,,,,,,,,,,,,,,,,,,,,,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
single,dual,PEOPLE,SQUEEZE,2222222,7,3,10,f,j,0,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.724499200005084,15.724546800367534,None,0,15.724723699968308,15.741298200096935,16.724316500127316,16.724316500127316,16.741606200113893,17.358721000142395,f,0,17.35071890009567,None,,298361,1,2024-06-21_10h09.20.019,AB,2024.1.1,None,2024-06-21 10h09.25.417383 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.04113270016387,,,,,,,,,,,17.35915150027722,17.37435179995373,18.37459670007229,18.37459670007229,19.411935000214726,19.358062900137156,20.025184700265527,20.04113270016387,20.02495070034638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
