task1,task2,T0,T2,T1,lagT0,lagT1,lagT2,responseT1,responseT2,related,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trials_T0_context.thisRepN,trials_T0_context.thisTrialN,trials_T0_context.thisN,trials_T0_context.thisIndex,trials_T1.thisRepN,trials_T1.thisTrialN,trials_T1.thisN,trials_T1.thisIndex,trials_T2.thisRepN,trials_T2.thisTrialN,trials_T2.thisN,trials_T2.thisIndex,text_instructions.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,context_word.started,blankContext.started,context_word.stopped,blankContext.stopped,distractor_T0,text_distr_T0.started,text_distr_T0.stopped,text_blank_distractors_T0.started,text_blank_distractors_T0.stopped,text_T1.started,text_T1.stopped,text_blank_number_T1.started,text_blank_number_T1.stopped,distractor_T1,text_T2.started,text_T2.stopped,text_blank_T2_probe.started,text_blank_T2_probe.stopped,distractor_T2,text_distr_T2.started,participant,order [1: single-dual or 2: dual-single],refresh rate (Hz),language,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.317484200000763,12.317484200000763,space,1.1494015999996918,None,,,,,,,,,,,,,,,,,,,,,324212,1,60,en,2024-11-26_16h05.38.541,AB,2023.1.3,59.84877411772613,
single,dual,SHINGLE,XXROOFX,2222222.0,10,1,9,j,f,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,13.63547060000019,14.629785000000084,14.646625000000313,15.62993700000061,CFQWMHX,15.62993700000061,15.663221499999963,15.663221499999963,15.713260100000298,,,,,,,,,,,,324212,1,60,en,2024-11-26_16h05.38.541,AB,2023.1.3,59.84877411772613,
single,dual,SHINGLE,XXROOFX,2222222.0,10,1,9,j,f,1,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,MCLHGNJ,15.713260100000298,15.746566200000416,15.746566200000416,15.796566100000746,,,,,,,,,,,,324212,1,60,en,2024-11-26_16h05.38.541,AB,2023.1.3,59.84877411772613,
single,dual,SHINGLE,XXROOFX,2222222.0,10,1,9,j,f,1,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,LRPCHWS,15.796566100000746,15.830347099999926,15.830347099999926,15.879937900000186,,,,,,,,,,,,324212,1,60,en,2024-11-26_16h05.38.541,AB,2023.1.3,59.84877411772613,
single,dual,SHINGLE,XXROOFX,2222222.0,10,1,9,j,f,1,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,PSHGCTJ,15.879937900000186,15.913588000000345,15.913588000000345,15.963277400000152,,,,,,,,,,,,324212,1,60,en,2024-11-26_16h05.38.541,AB,2023.1.3,59.84877411772613,
single,dual,SHINGLE,XXROOFX,2222222.0,10,1,9,j,f,1,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,MXNRQTP,15.963277400000152,15.996594000000186,15.996594000000186,16.046606000000793,,,,,,,,,,,,324212,1,60,en,2024-11-26_16h05.38.541,AB,2023.1.3,59.84877411772613,
single,dual,SHINGLE,XXROOFX,2222222.0,10,1,9,j,f,1,0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,TKLRGFP,16.046606000000793,16.07993170000009,16.07993170000009,16.12989050000033,,,,,,,,,,,,324212,1,60,en,2024-11-26_16h05.38.541,AB,2023.1.3,59.84877411772613,
single,dual,SHINGLE,XXROOFX,2222222.0,10,1,9,j,f,1,0,0,0,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,HBDJZSX,16.12989050000033,16.163426000000072,16.163426000000072,16.21338040000046,,,,,,,,,,,,324212,1,60,en,2024-11-26_16h05.38.541,AB,2023.1.3,59.84877411772613,
single,dual,SHINGLE,XXROOFX,2222222.0,10,1,9,j,f,1,0,0,0,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,MDSHWCG,16.21338040000046,16.24668770000062,16.24668770000062,16.29661380000016,,,,,,,,,,,,324212,1,60,en,2024-11-26_16h05.38.541,AB,2023.1.3,59.84877411772613,
single,dual,SHINGLE,XXROOFX,2222222.0,10,1,9,j,f,1,0,0,0,0,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,WCDTNYB,16.29661380000016,16.33037080000031,16.33037080000031,16.379964600000676,,,,,,,,,,,,324212,1,60,en,2024-11-26_16h05.38.541,AB,2023.1.3,59.84877411772613,
single,dual,SHINGLE,XXROOFX,2222222.0,10,1,9,j,f,1,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,16.379964600000676,16.413344300000063,16.413344300000063,16.46331250000003,,,,,,,,324212,1,60,en,2024-11-26_16h05.38.541,AB,2023.1.3,59.84877411772613,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.46331250000003,16.496697900000072,16.496697900000072,,CTSPVYB,,,,,,,,,,
