task1,task2,T0,T2,T1,lagT0,lagT1,lagT2,responseT1,responseT2,related,dist,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trials_T0_context.thisRepN,trials_T0_context.thisTrialN,trials_T0_context.thisN,trials_T0_context.thisIndex,trials_T1.thisRepN,trials_T1.thisTrialN,trials_T1.thisN,trials_T1.thisIndex,trials_T2.thisRepN,trials_T2.thisTrialN,trials_T2.thisN,trials_T2.thisIndex,thisRow.t,notes,instructions.started,text_instructions.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,settings.started,settings.stopped,T0_context.started,context_word.started,blankContext.started,context_word.stopped,blankContext.stopped,T0_context.stopped,distractors_T0_T2.started,text_distractors_2.started,distractors_T0_T2.stopped,T1_number.started,text_T1.started,T1_number.stopped,distractors_T1.started,text_distractors.started,distractors_T1.stopped,T2_probe.started,text_T2.started,T2_probe.stopped,Ask_T1.started,Ask_T1.stopped,key_resp_T1.keys,key_resp_T1.corr,Ask_T2.started,blankT2_1.started,text_T2ask.started,key_resp_T2.started,blankT2_1.stopped,Ask_T2.stopped,key_resp_T2.keys,key_resp_T2.corr,key_resp_T2.rt,key_resp_T2.duration,text_distractors_2.stopped,participant,order [1: single-dual or 2: dual-single],date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006685699801892042,0.023602500092238188,0.023602500092238188,5.41843739990145,space,5.4103132002055645,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686480,1,2024-06-21_10h13.06.671,AB,2024.1.1,None,2024-06-21 10h13.15.421268 +0200,
single,dual,AFRAID,XXFEARX,3333333,10,3,7,j,f,1,YGLMSFQ,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,,,,8.32081349985674,,,,,,,,,5.423825399950147,5.424096200149506,5.5544647998176515,5.565470399800688,6.432298100087792,6.5661622998304665,7.475153800100088,7.416072300169617,8.099293100181967,8.116052700206637,8.182816999964416,8.182871200144291,8.19901889981702,8.265923299826682,8.31209689984098,8.32081349985674,8.349122299812734,,,,,,,,,,,,,,,,,,,686480,1,2024-06-21_10h13.06.671,AB,2024.1.1,None,2024-06-21 10h13.15.421268 +0200,
single,dual,AFRAID,XXFEARX,3333333,10,3,7,j,f,1,ZTFYDXH,0,0,0,0,0,0,0,0,,,,,0,1,1,0,,,,,8.366064100060612,,,,,,,,,,,,,,,,,,,,,,,8.349371099844575,8.366064100060612,8.432784500066191,,,,,,,,,,,,,,,,,,,686480,1,2024-06-21_10h13.06.671,AB,2024.1.1,None,2024-06-21 10h13.15.421268 +0200,
single,dual,AFRAID,XXFEARX,3333333,10,3,7,j,f,1,HLFPYXK,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,4,8.571266499813646,,,,,,,,,,,,,,,,,8.56223089993,8.571266499813646,8.599203600082546,,,,,,,8.432873399928212,8.448985800147057,8.515846299938858,,,,,,,,,,,,,,,,686480,1,2024-06-21_10h13.06.671,AB,2024.1.1,None,2024-06-21 10h13.15.421268 +0200,
single,dual,AFRAID,XXFEARX,3333333,10,3,7,j,f,1,WMYFTGJ,0,0,0,0,0,0,0,0,,,,,,,,,0,1,1,6,8.616113500203937,,,,,,,,,,,,,,,,,8.59945569979027,8.616113500203937,8.682853799778968,,,,,,,,,,,,,,,,,,,,,,,,,686480,1,2024-06-21_10h13.06.671,AB,2024.1.1,None,2024-06-21 10h13.15.421268 +0200,
single,dual,AFRAID,XXFEARX,3333333,10,3,7,j,f,1,GQKRPDL,0,0,0,0,0,0,0,0,,,,,,,,,0,2,2,5,8.699074500240386,,,,,,,,,,,,,,,,,8.68311950005591,8.699074500240386,8.765819100197405,,,,,,,,,,,,,,,,,,,,,,,,,686480,1,2024-06-21_10h13.06.671,AB,2024.1.1,None,2024-06-21 10h13.15.421268 +0200,
single,dual,AFRAID,XXFEARX,3333333,10,3,7,j,f,1,VYKXSPC,0,0,0,0,0,0,0,0,,,,,,,,,0,3,3,2,8.782455100212246,,,,,,,,,,,,,,,,,8.766072600148618,8.782455100212246,8.849154300056398,,,,,,,,,,,,,,,,,,,,,,,,,686480,1,2024-06-21_10h13.06.671,AB,2024.1.1,None,2024-06-21 10h13.15.421268 +0200,
single,dual,AFRAID,XXFEARX,3333333,10,3,7,j,f,1,YGLMSFQ,0,0,0,0,0,0,0,0,,,,,,,,,0,4,4,1,8.86590539989993,,,,,,,,,,,,,,,,,8.84938930021599,8.86590539989993,8.932856699917465,,,,,,,,,,,,,,,,,,,,,,,,,686480,1,2024-06-21_10h13.06.671,AB,2024.1.1,None,2024-06-21 10h13.15.421268 +0200,
single,dual,AFRAID,XXFEARX,3333333,10,3,7,j,f,1,ZTFYDXH,0,0,0,0,0,0,0,0,,,,,,,,,0,5,5,0,8.949018300045282,,,,,,,,,,,,,,,,,8.933121100068092,8.949018300045282,9.015871500130743,,,,,,,,,,,,,,,,,,,,,,,,,686480,1,2024-06-21_10h13.06.671,AB,2024.1.1,None,2024-06-21 10h13.15.421268 +0200,
single,dual,AFRAID,XXFEARX,3333333,10,3,7,j,f,1,ZJTSHFP,0,0,0,0,0,0,0,0,,,,,,,,,0,6,6,3,9.032444600015879,,,,,,,,,,,,,,,,,9.01611480023712,9.032444600015879,9.099170499946922,,,,,,,,,,,,,,,,,,,,,,,,,686480,1,2024-06-21_10h13.06.671,AB,2024.1.1,None,2024-06-21 10h13.15.421268 +0200,
single,dual,AFRAID,XXFEARX,3333333,10,3,7,j,f,1,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.099262699950486,9.099302299786359,None,0,9.099598200060427,9.115992300212383,10.099595199804753,10.099595199804753,10.115817199926823,10.999789699912071,f,1,10.994802200235426,None,,686480,1,2024-06-21_10h13.06.671,AB,2024.1.1,None,2024-06-21 10h13.15.421268 +0200,
