task1,task2,T0,T2,T1,lagT0,lagT1,lagT2,responseT1,responseT2,related,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trials_T0_context.thisRepN,trials_T0_context.thisTrialN,trials_T0_context.thisN,trials_T0_context.thisIndex,trials_T1.thisRepN,trials_T1.thisTrialN,trials_T1.thisN,trials_T1.thisIndex,trials_T2.thisRepN,trials_T2.thisTrialN,trials_T2.thisN,trials_T2.thisIndex,text_instructions.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,context_word.started,blankContext.started,context_word.stopped,blankContext.stopped,distractor_T0,text_distr_T0.started,text_distr_T0.stopped,text_blank_distractors_T0.started,text_blank_distractors_T0.stopped,text_T1.started,text_T1.stopped,text_blank_number_T1.started,text_blank_number_T1.stopped,distractor_T1,text_distr_T1.started,text_distr_T1.stopped,text_blank_distractors_T1.started,text_blank_distractors_T1.stopped,text_T2.started,text_T2.stopped,text_blank_T2_probe.started,text_blank_T2_probe.stopped,distractor_T2,text_distr_T2.started,text_distr_T2.stopped,text_blank_distractors_T2.started,text_blank_distractors_T2.stopped,key_resp_T1.keys,key_resp_T1.corr,blankT2_1.started,text_T2ask.started,key_resp_T2.started,blankT2_1.stopped,text_T2ask.stopped,blankT2_2.started,key_resp_T2.stopped,blankT2_2.stopped,key_resp_T2.keys,key_resp_T2.corr,participant,order [1: single-dual or 2: dual-single],refresh rate (Hz),language,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.367152700000588,12.367152700000588,space,0.5201713999995263,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,ANGRY,XNURSEX,7777777.0,7,7,6,f,j,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,13.054371600000195,14.046283600000606,14.062733700000535,15.046124299999974,NWLQHKY,15.046124299999974,15.079588800000238,15.079588800000238,15.129651100000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,ANGRY,XNURSEX,7777777.0,7,7,6,f,j,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,BWSTFML,15.129651100000046,15.16276360000029,15.16276360000029,15.212807200000498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,ANGRY,XNURSEX,7777777.0,7,7,6,f,j,0,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,JBDVFXM,15.212807200000498,15.24616320000041,15.24616320000041,15.296160800000507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,ANGRY,XNURSEX,7777777.0,7,7,6,f,j,0,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,MSZCHDF,15.296160800000507,15.32970960000057,15.32970960000057,15.379488600000514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,ANGRY,XNURSEX,7777777.0,7,7,6,f,j,0,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,TYSFJQV,15.379488600000514,15.412835000000086,15.412835000000086,15.462783200000558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,ANGRY,XNURSEX,7777777.0,7,7,6,f,j,0,0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,BWLMYDF,15.462783200000558,15.496222300000227,15.496222300000227,15.546132299999954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,ANGRY,XNURSEX,7777777.0,7,7,6,f,j,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,15.546132299999954,15.579529200000252,15.579529200000252,15.629475500000808,XDSTFRZ,15.629475500000808,15.662870000000112,15.662870000000112,15.712866700000632,,,,,,,,,,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,ANGRY,XNURSEX,7777777.0,7,7,6,f,j,0,0,0,0,0,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,TZVQJNH,15.712866700000632,15.746246600000632,15.746246600000632,15.796279300000606,,,,,,,,,,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,ANGRY,XNURSEX,7777777.0,7,7,6,f,j,0,0,0,0,0,0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,MBYCPRS,15.796279300000606,15.829538300000422,15.829538300000422,15.87954500000069,,,,,,,,,,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,ANGRY,XNURSEX,7777777.0,7,7,6,f,j,0,0,0,0,0,0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,RZNYFCJ,15.87954500000069,15.912907100000666,15.912907100000666,15.962847200000397,,,,,,,,,,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,ANGRY,XNURSEX,7777777.0,7,7,6,f,j,0,0,0,0,0,0,0,0,0,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,YJVDZPR,15.962847200000397,15.996271800000613,15.996271800000613,16.046184100000573,,,,,,,,,,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,ANGRY,XNURSEX,7777777.0,7,7,6,f,j,0,0,0,0,0,0,0,0,0,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,RYTBPWL,16.046184100000573,16.079527900000357,16.079527900000357,16.12959210000008,,,,,,,,,,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,ANGRY,XNURSEX,7777777.0,7,7,6,f,j,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,16.12959210000008,16.16299810000055,16.16299810000055,16.213002100000267,RYTBPWL,16.213002100000267,16.246416200000567,16.246416200000567,16.29621220000081,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,ANGRY,XNURSEX,7777777.0,7,7,6,f,j,0,0,0,0,0,0,0,0,0,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,HCWGDYZ,16.29621220000081,16.32958670000062,16.32958670000062,16.37971760000073,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,ANGRY,XNURSEX,7777777.0,7,7,6,f,j,0,0,0,0,0,0,0,0,0,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDMVRHS,16.37971760000073,16.41324010000062,16.41324010000062,16.46294830000079,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,ANGRY,XNURSEX,7777777.0,7,7,6,f,j,0,0,0,0,0,0,0,0,0,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,PXYQSDR,16.46294830000079,16.496256800000083,16.496256800000083,16.54640230000041,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,ANGRY,XNURSEX,7777777.0,7,7,6,f,j,0,0,0,0,0,0,0,0,0,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLBFNXC,16.54640230000041,16.579593500000556,16.579593500000556,16.629585900000166,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,ANGRY,XNURSEX,7777777.0,7,7,6,f,j,0,0,0,0,0,0,0,0,0,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJQRHPG,16.629585900000166,16.663337100000717,16.663337100000717,16.713028300000587,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,ANGRY,XNURSEX,7777777.0,7,7,6,f,j,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,16.713028300000587,17.696433800000705,17.696433800000705,17.71308339999996,19.69662310000058,19.69662310000058,19.69662310000058,20.696677900000395,None,0,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,NUMBERS,LETTERS,7777777.0,7,1,12,f,f,1,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,20.696677900000395,21.69662960000005,21.69662960000005,22.696795400000155,YHRBKCP,22.696795400000155,22.73001420000037,22.73001420000037,22.780042900000808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,NUMBERS,LETTERS,7777777.0,7,1,12,f,f,1,0,0,0,0,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,BRXLQJN,22.780042900000808,22.813569100000677,22.813569100000677,22.863455200000317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,NUMBERS,LETTERS,7777777.0,7,1,12,f,f,1,0,0,0,0,0,1,1,1,2,0,2,0,,,,,,,,,,,,,,,,,,KGNBDTX,22.863455200000317,22.896702600000026,22.896702600000026,22.94672200000059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,NUMBERS,LETTERS,7777777.0,7,1,12,f,f,1,0,0,0,0,0,1,1,1,3,0,3,0,,,,,,,,,,,,,,,,,,YMVPDZQ,22.94672200000059,22.980140000000574,22.980140000000574,23.030058700000154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,NUMBERS,LETTERS,7777777.0,7,1,12,f,f,1,0,0,0,0,0,1,1,1,4,0,4,0,,,,,,,,,,,,,,,,,,WBFKDNX,23.030058700000154,23.063583800000742,23.063583800000742,23.113484400000743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,NUMBERS,LETTERS,7777777.0,7,1,12,f,f,1,0,0,0,0,0,1,1,1,5,0,5,0,,,,,,,,,,,,,,,,,,ZRKXHVD,23.113484400000743,23.14675310000075,23.14675310000075,23.196721199999956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
