task1,task2,thisN,thisTrialN,thisRepN,T0,T2,T1,lagT0,lagT1,lagT2,responseT1,responseT2,related,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_T1.keys,key_resp_T1.corr,key_resp_T2.keys,key_resp_T2.corr,key_resp_T2.rt,key_resp_T2.duration,press_to_continue.keys,key_resp_T1.rt,key_resp_T1.duration,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trials_T0_context.thisRepN,trials_T0_context.thisTrialN,trials_T0_context.thisN,trials_T0_context.thisIndex,trials_T1.thisRepN,trials_T1.thisTrialN,trials_T1.thisN,trials_T1.thisIndex,trials_T2.thisRepN,trials_T2.thisTrialN,trials_T2.thisN,trials_T2.thisIndex,thisRow.t,notes,set_block.started,set_block.stopped,instructions.started,text_instructions.started,key_resp.started,instructions.stopped,block.key_resp.keys,block.key_resp.rt,block.key_resp.duration,set_trial.started,set_trial.stopped,T0_context.started,context_word.started,blankContext.started,context_word.stopped,blankContext.stopped,T0_context.stopped,distractor_T0,distractors_T0.started,text_distr_T0.started,text_distr_T0.stopped,text_blank_distractors_T0.started,text_blank_distractors_T0.stopped,distractors_T0.stopped,T1_number.started,text_T1.started,text_T1.stopped,text_blank_number_T1.started,text_blank_number_T1.stopped,T1_number.stopped,distractor_T1,distractors_T1.started,distractors_T1.stopped,T2_probe.started,text_T2.started,text_T2.stopped,text_blank_T2_probe.started,text_blank_T2_probe.stopped,T2_probe.stopped,distractor_T2,distractors_T2.started,text_distr_T2.started,text_distr_T2.stopped,text_blank_distractors_T2.started,text_blank_distractors_T2.stopped,distractors_T2.stopped,blank_1s.started,text_blank1s.started,text_blank1s.stopped,blank_1s.stopped,Ask_T1.started,Ask_T1.stopped,trial.key_resp_T1.keys,trial.key_resp_T1.corr,blank_T1T2.started,blank_T1T2.stopped,Ask_T2.started,text_T2ask.started,key_resp_T2.started,Ask_T2.stopped,trial.key_resp_T2.keys,trial.key_resp_T2.corr,trial.key_resp_T2.rt,trial.key_resp_T2.duration,blank_2s.started,text_blank2s.started,text_blank2s.stopped,blank_2s.stopped,text_distr_T1.started,text_distr_T1.stopped,text_blank_distractors_T1.started,text_blank_distractors_T1.stopped,rest.started,text_rest.started,press_to_continue.started,rest.stopped,block.press_to_continue.keys,text_T2ask.stopped,key_resp_T2.stopped,text_rest.stopped,press_to_continue.stopped,text_T1ask.started,key_resp_T1.started,text_T1ask.stopped,key_resp_T1.stopped,text_blankT1T2.started,text_blankT1T2.stopped,trial.key_resp_T1.rt,trial.key_resp_T1.duration,end.started,text_thanks.started,end.stopped,participant,order [1: single-dual or 2: dual-single],refresh rate (Hz),port address,language,date,expName,psychopyVersion,frameRate,expStart,
single,dual,0,0,0,NUMBERS,XXBUYXX,2222222.0,7,1,12,j,j,unrelated,space,1.1656102000270039,None,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,3.4085824999492615,,0.01837449986487627,0.01867539994418621,0.05977179994806647,0.0745843998156488,0.0745843998156488,1.2477587999310344,space,1.1656102000270039,None,1.4011022998020053,1.4015539998654276,1.4068477000109851,1.4246158997993916,2.408483099890873,2.425433099968359,3.4085824999492615,3.3948026997968554,ZMXWNPK,3.399866399820894,3.4085824999492615,3.4418145997915417,3.4418145997915417,3.491947599919513,3.4780633999034762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983509,1,60,0xC000,en,2025-03-19_20h53.13.046,AB,2024.2.4,59.87876942651462,2025-03-19 20h53.21.354040 +0500,
single,dual,1,0,1,NUMBERS,XXBUYXX,2222222.0,7,1,12,j,j,unrelated,space,1.1656102000270039,None,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,3.491947599919513,,,,,,,,,,,,,,,,,,,CYTGLKM,3.482317299814895,3.491947599919513,3.5254573000129312,3.5254573000129312,3.5753120998851955,3.5611837999895215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983509,1,60,0xC000,en,2025-03-19_20h53.13.046,AB,2024.2.4,59.87876942651462,2025-03-19 20h53.21.354040 +0500,
single,dual,2,0,2,NUMBERS,XXBUYXX,2222222.0,7,1,12,j,j,unrelated,space,1.1656102000270039,None,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,3.5753120998851955,,,,,,,,,,,,,,,,,,,HWJRTFS,3.564501899993047,3.5753120998851955,3.6087485998868942,3.6087485998868942,3.658541699871421,3.6450286000035703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983509,1,60,0xC000,en,2025-03-19_20h53.13.046,AB,2024.2.4,59.87876942651462,2025-03-19 20h53.21.354040 +0500,
single,dual,3,0,3,NUMBERS,XXBUYXX,2222222.0,7,1,12,j,j,unrelated,space,1.1656102000270039,None,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,3.658541699871421,,,,,,,,,,,,,,,,,,,SDRZTHB,3.6476607997901738,3.658541699871421,3.6921075999271125,3.6921075999271125,3.741718699922785,3.7281051999889314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983509,1,60,0xC000,en,2025-03-19_20h53.13.046,AB,2024.2.4,59.87876942651462,2025-03-19 20h53.21.354040 +0500,
single,dual,4,0,4,NUMBERS,XXBUYXX,2222222.0,7,1,12,j,j,unrelated,space,1.1656102000270039,None,,,,,,,,,,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,3.741718699922785,,,,,,,,,,,,,,,,,,,VHCZPMK,3.73049380001612,3.741718699922785,3.775383099913597,3.775383099913597,3.8252210998907685,3.811496499925852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983509,1,60,0xC000,en,2025-03-19_20h53.13.046,AB,2024.2.4,59.87876942651462,2025-03-19 20h53.21.354040 +0500,
single,dual,5,0,5,NUMBERS,XXBUYXX,2222222.0,7,1,12,j,j,unrelated,space,1.1656102000270039,None,,,,,,,,,,0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,3.8252210998907685,,,,,,,,,,,,,,,,,,,QVMPDCK,3.814280399819836,3.8252210998907685,3.8587481998838484,3.8587481998838484,3.9085015999153256,3.894810999976471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983509,1,60,0xC000,en,2025-03-19_20h53.13.046,AB,2024.2.4,59.87876942651462,2025-03-19 20h53.21.354040 +0500,
single,dual,0,0,0,NUMBERS,XXBUYXX,2222222.0,7,1,12,j,j,unrelated,space,1.1656102000270039,None,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,3.9921240999829024,,,,,,,,,,,,,,,,,,,,,,,,,,3.8997603999450803,3.9085015999153256,3.942112199962139,3.942112199962139,3.9921240999829024,3.9774809000082314,,3.979171199956909,3.9792037999723107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983509,1,60,0xC000,en,2025-03-19_20h53.13.046,AB,2024.2.4,59.87876942651462,2025-03-19 20h53.21.354040 +0500,
single,dual,0,0,0,NUMBERS,XXBUYXX,2222222.0,7,1,12,j,j,unrelated,space,1.1656102000270039,None,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,4.075272499816492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9823175999335945,3.9921240999829024,4.025402799947187,4.025402799947187,4.075272499816492,4.061478199902922,RYXKGWP,4.063269499922171,4.075272499816492,4.108728099847212,4.108728099847212,4.158778399927542,4.144719099858776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983509,1,60,0xC000,en,2025-03-19_20h53.13.046,AB,2024.2.4,59.87876942651462,2025-03-19 20h53.21.354040 +0500,
single,dual,1,0,1,NUMBERS,XXBUYXX,2222222.0,7,1,12,j,j,unrelated,space,1.1656102000270039,None,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,1,0,1,0,4.158778399927542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HDTYCSW,4.146289599826559,4.158778399927542,4.191954499809071,4.191954499809071,4.241814299952239,4.228089799871668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983509,1,60,0xC000,en,2025-03-19_20h53.13.046,AB,2024.2.4,59.87876942651462,2025-03-19 20h53.21.354040 +0500,
single,dual,2,0,2,NUMBERS,XXBUYXX,2222222.0,7,1,12,j,j,unrelated,space,1.1656102000270039,None,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,2,0,2,0,4.241814299952239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KPTLFCD,4.229624699801207,4.241814299952239,4.274952000007033,4.274952000007033,4.325022999895737,4.3111619998235255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983509,1,60,0xC000,en,2025-03-19_20h53.13.046,AB,2024.2.4,59.87876942651462,2025-03-19 20h53.21.354040 +0500,
